epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,13219.6,1.07879,0.71319,1.16975,0.75864,0.78578,0.8033,0.49338,1.35496,0.89183,1.3876,3.1195e-05,3.1195e-05,3.1195e-05
141,13305,1.06558,0.70767,1.16111,0.7577,0.7896,0.80206,0.49427,1.35691,0.88976,1.38897,3.07e-05,3.07e-05,3.07e-05
142,13392.9,1.06395,0.70803,1.16243,0.75353,0.79753,0.80221,0.49327,1.35852,0.88944,1.39095,3.0205e-05,3.0205e-05,3.0205e-05
143,13498,1.07985,0.71728,1.16641,0.75881,0.78652,0.80113,0.49179,1.35929,0.89037,1.39356,2.971e-05,2.971e-05,2.971e-05
144,13604.4,1.0692,0.71828,1.16243,0.76883,0.78094,0.8009,0.49096,1.36153,0.89126,1.39751,2.9215e-05,2.9215e-05,2.9215e-05
145,13696.8,1.05572,0.69565,1.15838,0.76769,0.78261,0.79972,0.49045,1.36159,0.89001,1.39926,2.872e-05,2.872e-05,2.872e-05
146,13786.3,1.05839,0.70549,1.15425,0.77115,0.7776,0.80131,0.48995,1.36121,0.88889,1.3987,2.8225e-05,2.8225e-05,2.8225e-05
147,13875,1.06385,0.70114,1.1592,0.76417,0.78763,0.80144,0.48927,1.36018,0.88812,1.39882,2.773e-05,2.773e-05,2.773e-05
148,13964.8,1.05673,0.70426,1.15731,0.76766,0.7893,0.80156,0.48929,1.36125,0.88802,1.3998,2.7235e-05,2.7235e-05,2.7235e-05
149,14055.8,1.05582,0.69995,1.15763,0.77196,0.78686,0.80199,0.48965,1.36278,0.88531,1.40392,2.674e-05,2.674e-05,2.674e-05
150,14152.3,1.0558,0.69806,1.15463,0.76799,0.79181,0.80302,0.4905,1.36288,0.88499,1.40652,2.6245e-05,2.6245e-05,2.6245e-05
151,14242,1.05339,0.70051,1.15269,0.76528,0.78763,0.80244,0.49001,1.36078,0.8852,1.40402,2.575e-05,2.575e-05,2.575e-05
152,14328.6,1.04948,0.70017,1.15438,0.7628,0.78783,0.80094,0.49088,1.36235,0.88432,1.40614,2.5255e-05,2.5255e-05,2.5255e-05
153,14431.2,1.05252,0.69486,1.15352,0.76241,0.78763,0.80145,0.49193,1.36228,0.88418,1.40632,2.476e-05,2.476e-05,2.476e-05
154,14533,1.04278,0.6924,1.15139,0.76286,0.78846,0.80131,0.49236,1.36418,0.8847,1.40809,2.4265e-05,2.4265e-05,2.4265e-05
155,14676.5,1.04962,0.69593,1.15247,0.76404,0.78763,0.80117,0.49285,1.36526,0.88523,1.40861,2.377e-05,2.377e-05,2.377e-05
156,15213.2,1.05492,0.70074,1.15324,0.76346,0.79069,0.80102,0.49156,1.36594,0.88505,1.40969,2.3275e-05,2.3275e-05,2.3275e-05
157,15301.7,1.04055,0.69359,1.15028,0.76036,0.79323,0.80021,0.49126,1.36571,0.88474,1.40953,2.278e-05,2.278e-05,2.278e-05
158,15390.4,1.04783,0.69844,1.15244,0.75736,0.79598,0.79974,0.48978,1.36503,0.8865,1.40911,2.2285e-05,2.2285e-05,2.2285e-05
159,15478.2,1.04822,0.69438,1.14926,0.75763,0.79515,0.79987,0.4901,1.36459,0.88818,1.40773,2.179e-05,2.179e-05,2.179e-05
160,15565.3,1.03745,0.68211,1.14685,0.75739,0.79599,0.79913,0.49051,1.36477,0.889,1.40791,2.1295e-05,2.1295e-05,2.1295e-05
