epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,16116,1.1587,0.79412,1.33233,0.81956,0.74247,0.81613,0.5178,1.29853,0.83764,1.47123,3.565e-05,3.565e-05,3.565e-05
132,16201.5,1.1578,0.79401,1.32798,0.81879,0.74247,0.81753,0.51838,1.30379,0.83509,1.4734,3.5155e-05,3.5155e-05,3.5155e-05
133,16287.1,1.16552,0.80213,1.33921,0.81053,0.74916,0.81931,0.51817,1.30178,0.83553,1.4723,3.466e-05,3.466e-05,3.466e-05
134,16372.7,1.15627,0.79502,1.32347,0.8179,0.73913,0.81975,0.51782,1.30301,0.83573,1.47137,3.4165e-05,3.4165e-05,3.4165e-05
135,16458.2,1.15381,0.78874,1.32719,0.82508,0.73753,0.81944,0.51645,1.30474,0.83829,1.4726,3.367e-05,3.367e-05,3.367e-05
136,16543.6,1.15278,0.79121,1.32337,0.82758,0.73495,0.81834,0.51564,1.30659,0.84171,1.4744,3.3175e-05,3.3175e-05,3.3175e-05
137,16629.3,1.15139,0.78851,1.32313,0.81886,0.7408,0.81695,0.51677,1.30894,0.84322,1.4723,3.268e-05,3.268e-05,3.268e-05
138,16715,1.1524,0.78273,1.321,0.81768,0.74246,0.81503,0.51412,1.30936,0.84484,1.46993,3.2185e-05,3.2185e-05,3.2185e-05
139,16800.7,1.14733,0.77779,1.32495,0.81754,0.73829,0.81418,0.51662,1.30898,0.84568,1.46854,3.169e-05,3.169e-05,3.169e-05
140,16886.4,1.14948,0.78282,1.32397,0.81743,0.73751,0.8133,0.51507,1.30817,0.8455,1.46624,3.1195e-05,3.1195e-05,3.1195e-05
141,16971.8,1.14581,0.77535,1.32114,0.81961,0.737,0.81362,0.51633,1.30774,0.84481,1.46633,3.07e-05,3.07e-05,3.07e-05
142,17057.5,1.14224,0.77606,1.32705,0.81268,0.74361,0.81407,0.5155,1.30684,0.844,1.46561,3.0205e-05,3.0205e-05,3.0205e-05
143,17143.2,1.15719,0.79103,1.32832,0.81446,0.74582,0.81243,0.5166,1.30721,0.84411,1.46547,2.971e-05,2.971e-05,2.971e-05
144,17228.7,1.1481,0.78992,1.31809,0.81354,0.74582,0.81143,0.51556,1.30589,0.84433,1.46285,2.9215e-05,2.9215e-05,2.9215e-05
